"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
915,"Briza","Toronto","other","Ontario","Canada","North America","26","2022-12-20","40","65","39","FINANCE","Series A","10",2022,"43.6534817","-79.3839347","Finance / Fintech","Small","High (26–50%)","2022-12","Q4","2022-12","40.0","Early Stage","Low (<$50M)",0
872,"Chipper Cash","San Francisco","San Francisco Bay Area","California","USA","North America","50","2022-12-06","13","385","335","FINANCE","Series C","302",2022,"37.7792588","-122.4193286","Finance / Fintech","Small","Medium (11–25%)","2022-12","Q4","2022-12","13.0","Late Stage","High (>$200M)",0
873,"Doma","Huntington Beach","other","California","USA","North America","515","2022-12-06","40","1288","773","FINANCE","Post-IPO","679",2022,"33.6783336","-118.000016","Finance / Fintech","Large","High (26–50%)","2022-12","Q4","2022-12","40.0","Public","High (>$200M)",1
913,"Tomorrow","Hamburg","other","Hamburg","Germany","Europe","30","2022-12-16","25","120","90","FINANCE","Unknown","29",2022,"53.550341","10.000654","Finance / Fintech","Small","Medium (11–25%)","2022-12","Q4","2022-12","25.0","Unknown / Other","Low (<$50M)",0
875,"Stash","New York City","other","New York","USA","North America","32","2022-12-06","8","400","368","FINANCE","Unknown","480",2022,"40.7127281","-74.0060152","Finance / Fintech","Small","Low (≤10%)","2022-12","Q4","2022-12","8.0","Unknown / Other","High (>$200M)",0
880,"Lithic","New York City","other","New York","USA","North America","27","2022-12-07","18","150","123","FINANCE","Series C","115",2022,"40.7127281","-74.0060152","Finance / Fintech","Small","Medium (11–25%)","2022-12","Q4","2022-12","18.0","Late Stage","Medium ($50–200M)",0
883,"Plaid","San Francisco","San Francisco Bay Area","California","USA","North America","260","2022-12-07","20","1300","1040","FINANCE","Series D","734",2022,"37.7792588","-122.4193286","Finance / Fintech","Large","Medium (11–25%)","2022-12","Q4","2022-12","20.0","Late Stage","High (>$200M)",1
898,"Primer","London","other","England","UK","Europe","85","2022-12-09","33","258","173","FINANCE","Series B","73",2022,"51.4893335","-0.144055085","Finance / Fintech","Medium","High (26–50%)","2022-12","Q4","2022-12","32.9","Early Stage","Medium ($50–200M)",0
896,"C2FO","Kansas City","other","Kansas","USA","North America","20","2022-12-09","2","1000","980","FINANCE","Series H","537",2022,"39.100105","-94.5781416","Finance / Fintech","Small","Low (≤10%)","2022-12","Q4","2022-12","2.0","Other / Mid-Stage","High (>$200M)",0
888,"BlackLine","Los Angeles","other","California","USA","North America","95","2022-12-08","5","1900","1805","FINANCE","Private Equity","220",2022,"34.0536909","-118.242766","Finance / Fintech","Medium","Low (≤10%)","2022-12","Q4","2022-12","5.0","Late Stage","High (>$200M)",0
65,"Earnin","Palo Alto","San Francisco Bay Area","California","USA","North America","50","2020-04-01","20","250","200","FINANCE","Series C","190",2020,"37.4443293","-122.1598465","Finance / Fintech","Small","Medium (11–25%)","2020-04","Q2","2020-04","20.0","Late Stage","Medium ($50–200M)",0
69,"Sensibill","Toronto","other","Ontario","Canada","North America","17","2020-04-01","20","85","68","FINANCE","Series B","50",2020,"43.6534817","-79.3839347","Finance / Fintech","Small","Medium (11–25%)","2020-04","Q2","2020-04","20.0","Early Stage","Medium ($50–200M)",0
79,"Instamojo","Bengaluru","other","Karnataka","India","Asia","6","2020-04-02","6","100","94","FINANCE","Unknown","8",2020,"12.98815675","77.62260004","Finance / Fintech","Small","Low (≤10%)","2020-04","Q2","2020-04","6.0","Unknown / Other","Low (<$50M)",0
93,"Jetty","New York City","other","New York","USA","North America","35","2020-04-03","40","88","53","FINANCE","Series B","40",2020,"40.7127281","-74.0060152","Finance / Fintech","Small","High (26–50%)","2020-04","Q2","2020-04","39.8","Early Stage","Low (<$50M)",0
100,"Borrowell","Toronto","other","Ontario","Canada","North America","15","2020-04-06","20","75","60","FINANCE","Series B","72",2020,"43.6534817","-79.3839347","Finance / Fintech","Small","Medium (11–25%)","2020-04","Q2","2020-04","20.0","Early Stage","Medium ($50–200M)",0
104,"Metromile","San Francisco","San Francisco Bay Area","California","USA","North America","100","2020-04-06","33","303","203","FINANCE","Series E","293",2020,"37.7792588","-122.4193286","Finance / Fintech","Medium","High (26–50%)","2020-04","Q2","2020-04","33.0","Late Stage","High (>$200M)",0
2174,"Block","Oakland","San Francisco Bay Area","California","USA","North America","931","2025-03-25","8","11638","10707","FINANCE","Post-IPO","150",2025,"37.8044557","-122.271356","Finance / Fintech","Large","Low (≤10%)","2025-03","Q1","2025-03","8.0","Public","Medium ($50–200M)",1
128,"Unison","San Francisco","San Francisco Bay Area","California","USA","North America","89","2020-04-08","45","198","109","FINANCE","Series B","40",2020,"37.7792588","-122.4193286","Finance / Fintech","Medium","High (26–50%)","2020-04","Q2","2020-04","44.9","Early Stage","Low (<$50M)",0
2131,"Zepz","London","other","England","United Kingdom","Europe","200","2025-02-12","20","1000","800","FINANCE","Series E","700",2025,"51.4893335","-0.144055085","Finance / Fintech","Medium","Medium (11–25%)","2025-02","Q1","2025-02","20.0","Late Stage","High (>$200M)",0
136,"Omie","Sao Paulo","other","State of São Paulo","Brazil","South America","136","2020-04-09","31","439","303","FINANCE","Series B","26",2020,"-23.5506507","-46.6333824","Finance / Fintech","Medium","High (26–50%)","2020-04","Q2","2020-04","31.0","Early Stage","Low (<$50M)",0
143,"Clearbanc","Toronto","other","Ontario","Canada","North America","17","2020-04-13","8","213","196","FINANCE","Series B","119",2020,"43.6534817","-79.3839347","Finance / Fintech","Small","Low (≤10%)","2020-04","Q2","2020-04","8.0","Early Stage","Medium ($50–200M)",0
146,"Neon","Sao Paulo","other","State of São Paulo","Brazil","South America","70","2020-04-13","10","700","630","FINANCE","Series B","120",2020,"-23.5506507","-46.6333824","Finance / Fintech","Medium","Low (≤10%)","2020-04","Q2","2020-04","10.0","Early Stage","Medium ($50–200M)",0
152,"Carta","San Francisco","San Francisco Bay Area","California","USA","North America","161","2020-04-15","16","1006","845","FINANCE","Series E","447",2020,"37.7792588","-122.4193286","Finance / Fintech","Medium","Medium (11–25%)","2020-04","Q2","2020-04","16.0","Late Stage","High (>$200M)",0
2103,"Stripe","San Francisco","San Francisco Bay Area","California","USA","North America","300","2025-01-21","3","10000","9700","FINANCE","Series I","8700",2025,"37.7792588","-122.4193286","Finance / Fintech","Large","Low (≤10%)","2025-01","Q1","2025-01","3.0","Other / Mid-Stage","High (>$200M)",1
2083,"Altruist","San Francisco","San Francisco Bay Area","California","USA","North America","37","2025-01-07","10","370","333","FINANCE","Series E","449",2025,"37.7792588","-122.4193286","Finance / Fintech","Small","Low (≤10%)","2025-01","Q1","2025-01","10.0","Late Stage","High (>$200M)",0
2080,"Bench","Vancouver","Cascadia","British Columbia","Canada","North America","450","2024-12-27","100","450","0","FINANCE","Series C","10",2024,"49.2608724","-123.113952","Finance / Fintech","Large","Very High (>50%)","2024-12","Q4","2024-12","100.0","Late Stage","Low (<$50M)",1
161,"Funding Societies","Singapore","other","non","Singapore","Asia","65","2020-04-16","18","361","296","FINANCE","Series B","42",2020,"1.2899175","103.8519072","Finance / Fintech","Medium","Medium (11–25%)","2020-04","Q2","2020-04","18.0","Early Stage","Low (<$50M)",0
2060,"Stash","New York City","other","New York","USA","North America","88","2024-12-04","40","220","132","FINANCE","Unknown","480",2024,"40.7127281","-74.0060152","Finance / Fintech","Medium","High (26–50%)","2024-12","Q4","2024-12","40.0","Unknown / Other","High (>$200M)",0
2048,"TrueLayer","London","other","England","UK","Europe","71","2024-11-15","25","284","213","FINANCE","Series E","321",2024,"51.4893335","-0.144055085","Finance / Fintech","Medium","Medium (11–25%)","2024-11","Q4","2024-11","25.0","Late Stage","High (>$200M)",0
175,"Kueski","Guadalajara","other","Jalisco","Mexico","North America","90","2020-04-20","30","300","210","FINANCE","Series B","38",2020,"20.6720375","-103.338396","Finance / Fintech","Medium","High (26–50%)","2020-04","Q2","2020-04","30.0","Early Stage","Low (<$50M)",0
179,"Freshbooks","Toronto","other","Ontario","Canada","North America","38","2020-04-21","9","422","384","FINANCE","Series B","75",2020,"43.6534817","-79.3839347","Finance / Fintech","Small","Low (≤10%)","2020-04","Q2","2020-04","9.0","Early Stage","Medium ($50–200M)",0
181,"Lending Club","San Francisco","San Francisco Bay Area","California","USA","North America","460","2020-04-21","30","1533","1073","FINANCE","Post-IPO","392",2020,"37.7792588","-122.4193286","Finance / Fintech","Large","High (26–50%)","2020-04","Q2","2020-04","30.0","Public","High (>$200M)",1
2068,"Bluevine","Tel Aviv","other","non","Israel","Asia","100","2024-12-10","18","556","456","FINANCE","Unknown","76",2024,"32.0852997","34.7818064","Finance / Fintech","Medium","Medium (11–25%)","2024-12","Q4","2024-12","18.0","Unknown / Other","Medium ($50–200M)",0
196,"Lighter Capital","Seattle","Cascadia","Washington","USA","North America","18","2020-04-24","22","82","64","FINANCE","Series B","15",2020,"47.6038321","-122.330062","Finance / Fintech","Small","Medium (11–25%)","2020-04","Q2","2020-04","22.0","Early Stage","Low (<$50M)",0
